id,parent_id,category,name,coordinates,rating,is_location,is_active
4623386002,4623386000,С,ПІДГОРОДИЩЕ,,25,True,
4623386003,4623386000,С,ПІД'ЯРКІВ,,25,True,
4623386004,4623386000,С,СЕЛИСЬКА,,25,True,
4623386400,4623300000,,СВІРЗЬКА,,0,False,
4623386401,4623386400,С,СВІРЖ,,25,True,
4623386402,4623386400,С,ГЛІБОВИЧІ,,25,True,
4623386403,4623386400,С,ГРАБНИК,,25,True,
4623386404,4623386400,С,ЗАДУБИНА,,25,True,
4623386405,4623386400,С,КОПАНЬ,,25,True,
4623386406,4623386400,С,МИВСЕВА,,25,True,
4623386407,4623386400,С,ПІДВИСОКЕ,,25,True,
4623386800,4623300000,,СТАНИМИРСЬКА,,0,False,
4623386801,4623386800,С,СТАНИМИР,,25,True,
4623386802,4623386800,С,ГАНАЧІВКА,,25,True,
4623387200,4623300000,,СТРІЛКІВСЬКА,,0,False,
4623387201,4623387200,С,СТРІЛКИ,,25,True,
4623387202,4623387200,С,ВІЛЯВЧЕ,,25,True,
4623387203,4623387200,С,ВОЛОВЕ,,25,True,
4623387204,4623387200,С,МАЛІ ЛАНКИ,,25,True,
4623387205,4623387200,С,МОСТИЩЕ,,25,True,
4623387206,4623387200,С,СТОКИ,,25,True,
4623387600,4623300000,,СУХОДІЛЬСЬКА,,0,False,
4623387601,4623387600,С,СУХОДІЛ,,25,True,
4623387602,4623387600,С,ВІЛЬХОВЕЦЬ,,25,True,
4623387603,4623387600,С,ЛОПУШНА,,25,True,
4623388000,4623300000,,УШКОВИЧІВСЬКА,,0,False,
4623388001,4623388000,С,УШКОВИЧІ,,25,True,
4623388002,4623388000,С,КИМИР,,25,True,
4623388003,4623388000,С,НЕДІЛИСЬКА,,25,True,
4623388004,4623388000,С,ЧУПЕРНОСІВ,,25,True,
4623388300,4623300000,,ЧЕМЕРИНЕЦЬКА,,0,False,
4623388301,4623388300,С,ЧЕМЕРИНЦІ,,25,True,
4623388302,4623388300,С,ГУРАЛЬНЯ,,25,True,
4623388303,4623388300,С,КУЗУБАТИЦЯ,,25,True,
4623388304,4623388300,С,КУЧЕРІВКА,,25,True,
4623600000,4600000000,РН,ПУСТОМИТІВСЬКИЙ РАЙОН,,0,False,
4623610000,4623600000,,МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ ПУСТОМИТІВСЬКОГО Р-НУ,,0,False,
4623610100,4623600000,М,ПУСТОМИТИ,,100,True,
4623610101,4623610100,С,НАВАРІЯ,,25,True,
4623655000,4623600000,,СЕЛИЩА МІСЬКОГО ТИПУ ПУСТОМИТІВСЬКОГО Р-НУ,,0,False,
4623655500,4623600000,Т,ЩИРЕЦЬ,,50,True,
4623655501,4623655500,С,ДУБ'ЯНКА,,25,True,
4623655502,4623655500,С,ОДИНОКЕ,,25,True,
4623655503,4623655500,С,СЕРДИЦЯ,,25,True,
4623655504,4623655500,С,ШУФРАГАНКА,,25,True,
4623655505,4623655500,С,ГОРБАЧІ,,25,True,
4623655506,4623655500,С,ГУМЕНЕЦЬ,,25,True,
4623655507,4623655500,С,ДМИТРЕ,,25,True,
4623655508,4623655500,С,ЛАНИ,,25,True,
4623655509,4623655500,С,ЛЬОПИ,,25,True,
4623655510,4623655500,С,НИКОНКОВИЧІ,,25,True,
